n,i,z_avg,z_std,z_min,z_max,z_med,z_gap,t_avg,t_std,t_min,t_max,t_med
40,1,-1.5800058118738172,0.022689237154801263,-1.5931054490528553,-1.5538065375157537,-1.5931054490528427,-4.842461986953595e-10,0.007228692372639974,0.0015330377732360153,0.006016969680786133,0.008952140808105469,0.00671696662902832
40,2,-0.7047474786605097,0.005946656458835742,-0.7116140860750837,-0.7013141749532202,-0.7013141749532249,-4.6779913276395746e-11,0.011350711186726889,0.006376015861967525,0.004773139953613281,0.017503976821899414,0.011775016784667969
40,3,-1.4464610856845637,0.025345392192300906,-1.4610942546895116,-1.4171947476746805,-1.4610942546894987,-0.009418025421809917,0.018227656682332356,0.0005375306593520516,0.01760697364807129,0.018539905548095703,0.018536090850830078
60,1,-1.7866955795459367,0.013706548915944347,-1.8015773474277448,-1.7745889457489896,-1.7839204454610762,-0.006616355259836615,0.027463674545288086,0.009575528333371115,0.018779993057250977,0.03773307800292969,0.025877952575683594
60,2,-2.3408261120496854,0.0752378646505919,-2.4228055617885667,-2.2749312944768745,-2.324741479883615,-0.0617235099991007,0.026819944381713867,0.008575016360408005,0.019105911254882812,0.03605294227600098,0.025300979614257812
60,3,-1.4141157244859006,0.044828535968309755,-1.451673001935558,-1.3644876802564414,-1.4261864912657032,-0.03626668819057821,0.018435001373291016,0.0021236844754063365,0.01700305938720703,0.020874977111816406,0.01742696762084961
80,1,-2.7688955736862284,0.011446881587618307,-2.779741141208211,-2.7569297518751,-2.7700158279753744,-0.021004340221386197,0.04538702964782715,0.008073607504288698,0.038184165954589844,0.05411410331726074,0.04386281967163086
80,2,-2.499541688435912,0.03894677602904874,-2.525664568470311,-2.4547777608650807,-2.5181827359723443,0.028114839237257216,0.05348761876424154,0.00844321185197937,0.04587197303771973,0.06256699562072754,0.052023887634277344
80,3,-2.4919468796793924,0.0486399934952392,-2.54374413838402,-2.44724314569479,-2.4848533549593683,-0.04094914596912491,0.05617300669352213,0.014824900348982612,0.0391998291015625,0.06658601760864258,0.06273317337036133
100,1,-2.4533819294160844,0.02555474516574908,-2.474600914036872,-2.425014030104119,-2.4605308441072617,-0.0011608831997480529,0.07420539855957031,0.004501136299222815,0.06915807723999023,0.07780313491821289,0.07565498352050781
100,2,-2.8038328218665245,0.03728619668378633,-2.846175120425674,-2.7759083195169647,-2.7894150256569343,0.060422464928120645,0.07484896977742513,0.0031196852364877023,0.07147717475891113,0.07763290405273438,0.07543683052062988
100,3,-2.6055032431830476,0.026264709747467398,-2.62599858959161,-2.575896061725366,-2.614615078232167,-0.08507677111210943,0.06629808743794759,0.022869488002635874,0.04037213325500488,0.08360815048217773,0.07491397857666016
140,1,-3.1475569383578335,0.05976576724549922,-3.2042898435562077,-3.08516138005107,-3.1532195914662213,0.007803761359452155,0.16048534711201987,0.00528315328095164,0.15600204467773438,0.16630983352661133,0.15914416313171387
140,2,-3.3228632707228254,0.1929097361939725,-3.5432066049307043,-3.184393589182459,-3.240989618055312,-0.033879510586877215,0.14886395136515299,0.019734736728925593,0.1260850429534912,0.16080188751220703,0.15970492362976074
140,3,-1.6600948395744366,0.03921965240838912,-1.7050875336232003,-1.6331348341053908,-1.6420621509947186,0.10821201988176654,0.1600796381632487,0.004269220704152909,0.1567540168762207,0.16489386558532715,0.15859103202819824
180,1,-2.1814900707991676,0.05168720691161498,-2.2344557058999004,-2.1311839771914216,-2.1788305293061807,0.07139183737985977,0.29510998725891113,0.0040885345645089825,0.2904391288757324,0.29803991317749023,0.29685091972351074
180,2,-1.8636549325684015,0.10304961080054166,-1.9660960374394107,-1.7600074089181845,-1.8648613513476093,0.10000018203430405,0.2934306462605794,0.029929641283243054,0.25887203216552734,0.3109550476074219,0.31046485900878906
180,3,-1.790694336647884,0.02005538768439352,-1.813676463555301,-1.7767365025765758,-1.781670043811775,0.10132408147510519,0.2872275511423747,0.005588497365461085,0.28110480308532715,0.2920539379119873,0.28852391242980957
200,1,-2.1265789705599567,0.13001946968535114,-2.2647195751398934,-2.0065877244258576,-2.1084296121141186,0.21892683349532194,0.3262467384338379,0.05476784210104421,0.2631340026855469,0.3612821102142334,0.3543241024017334
200,2,-1.7326859659956364,0.1892403330166892,-1.9164576286271628,-1.5384141705514793,-1.743186098808267,0.21813517978244168,0.33815431594848633,0.039464214623392085,0.29713988304138184,0.37585997581481934,0.3414630889892578
200,3,-1.7467839377036742,0.1349365485796032,-1.8952332809909478,-1.6315718716471388,-1.7135466604729361,0.11998983694209764,0.35118897755940753,0.030750656694108862,0.3158090114593506,0.37148594856262207,0.36627197265625
240,1,-0.8078517226543891,0.16254852163663225,-0.9602711339163379,-0.6367828361858416,-0.826501197860988,0.18459649832963576,0.6607383886973063,0.09797330575014031,0.5478880405426025,0.724045991897583,0.7102811336517334
240,2,-0.9211692867586718,0.19653056550115547,-1.109008674486856,-0.7169702363058253,-0.9375289494833339,0.062471601915139674,0.62226668993632,0.06885281668933473,0.5795040130615234,0.701693058013916,0.5856029987335205
240,3,-1.1640286264165016,0.19453071210290374,-1.3298655101198045,-0.9499012140104489,-1.212319155119251,0.1849152944978283,0.6588192780812582,0.028435326345585533,0.638530969619751,0.6913208961486816,0.6466059684753418
280,1,0.49792917227542527,0.5611101395244191,-0.14368070106940434,0.8968184639553373,0.7406497539403427,0.43507752692362034,0.9059193134307861,0.1534030817777341,0.7294909954071045,1.0078189373016357,0.9804480075836182
280,2,0.33358239716566,0.09211696742257859,0.24551079474400372,0.4292716621741241,0.32596473457885244,0.5340354370062601,1.114276647567749,0.07348615740695352,1.0295169353485107,1.1601290702819824,1.153183937072754
280,3,-0.05639662050373301,0.2818901433213038,-0.3648839633796158,0.18778437558720404,0.00790972628121275,0.4638951269704641,1.0247323513031006,0.05800449298392345,0.9618761539459229,1.0761940479278564,1.0361268520355225
300,1,3.642534937218174,0.1485002687050108,3.474912651335983,3.757641555266419,3.6950506050521197,0.48791198516078327,1.137081225713094,0.21657851804009684,0.8997588157653809,1.3240418434143066,1.1874430179595947
300,2,2.5779061333118323,0.03797716742488395,2.5382612878679343,2.613960620533245,2.5814964915343177,0.5604710446147434,1.257405678431193,0.11496000845111753,1.1894841194152832,1.3901379108428955,1.1925950050354004
300,3,1.945491482596781,0.08541769308257745,1.8572495577495058,2.0277726902500457,1.9514521997907919,0.6223644782672857,1.1327397028605144,0.026012595663501385,1.115915060043335,1.162700891494751,1.119603157043457
